condition,n,pmg,ci95_low,ci95_high
entity_substitution,28,-0.03571428571428571,-0.17857142857142858,0.10714285714285714
relation_substitution,28,0.0,-0.17857142857142858,0.17857142857142858
contradiction,28,-0.07142857142857142,-0.25,0.10714285714285714
rerouting,28,-0.10714285714285714,-0.35714285714285715,0.14285714285714285
