condition,label_mode,n,delta_accuracy,ci95_low,ci95_high
entity_substitution,natural,28,0.5,0.32142857142857145,0.6785714285714286
entity_substitution,anonymized,28,0.4642857142857143,0.2857142857142857,0.6428571428571429
relation_substitution,natural,28,0.42857142857142855,0.25,0.6071428571428571
relation_substitution,anonymized,28,0.42857142857142855,0.25,0.6071428571428571
contradiction,natural,28,0.4642857142857143,0.2857142857142857,0.6428571428571429
contradiction,anonymized,28,0.39285714285714285,0.17857142857142858,0.6071428571428571
rerouting,natural,28,0.14285714285714285,0.0,0.32142857142857145
rerouting,anonymized,28,0.03571428571428571,-0.14285714285714285,0.21428571428571427
