condition,label_mode,n,paired_clean_accuracy,corrupt_accuracy,delta_accuracy,robustness_ratio,clean_correct_n,flip_rate_among_clean_correct,corrupt_mean_set_f1,corrupt_unknown_rate,corrupt_coverage
entity_substitution,natural,28,0.5,0.0,0.5,0.0,14,1.0,0.4014612423916935,0.14285714285714285,0.8571428571428572
entity_substitution,anonymized,28,0.4642857142857143,0.0,0.4642857142857143,0.0,13,1.0,0.39548319327731096,0.07142857142857142,0.9285714285714286
relation_substitution,natural,28,0.5,0.07142857142857142,0.4285714285714286,0.14285714285714285,14,0.8571428571428571,0.5034077092375412,0.32142857142857145,0.6785714285714286
relation_substitution,anonymized,28,0.4642857142857143,0.03571428571428571,0.4285714285714286,0.07692307692307691,13,0.9230769230769231,0.4921331994336196,0.2857142857142857,0.7142857142857143
contradiction,natural,28,0.5,0.03571428571428571,0.4642857142857143,0.07142857142857142,14,0.9285714285714286,0.5572543929852644,0.17857142857142858,0.8214285714285714
contradiction,anonymized,28,0.4642857142857143,0.07142857142857142,0.3928571428571429,0.15384615384615383,13,0.9230769230769231,0.6589381207028265,0.03571428571428571,0.9642857142857143
rerouting,natural,28,0.5,0.35714285714285715,0.14285714285714285,0.7142857142857143,14,0.35714285714285715,0.6868163932239562,0.10714285714285714,0.8928571428571429
rerouting,anonymized,28,0.4642857142857143,0.42857142857142855,0.035714285714285754,0.923076923076923,13,0.3076923076923077,0.6647108843537415,0.07142857142857142,0.9285714285714286
